#T	V1	V2	V3	V4	I(V0)	I(V1DUMMY)	I(V2DUMMY)
6.500100010000999795e+00	-1.000000000000000000e+01	-9.995170932087232174e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-3.331723684422874254e-03	2.269434962908434272e-03	1.062288711414449693e-03
6.500200020001999590e+00	-1.000000000000000000e+01	-9.990343030451056094e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-3.330114383074833477e-03	2.268338772343626072e-03	1.061775600831197123e-03
6.500220839797761663e+00	-1.000000000000000000e+01	-9.989338265027827291e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-3.329779462083273713e-03	2.268110637544873496e-03	1.061668814438410146e-03
6.500241562850166410e+00	-1.000000000000000000e+01	-9.988338268798388597e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-3.329446129181823453e-03	2.267883584907133630e-03	1.061562534374679975e-03
6.500283008954976793e+00	-1.000000000000000000e+01	-9.986338576642415532e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-3.328779565931711676e-03	2.267429548863171985e-03	1.061350006968549619e-03
6.500365901164597560e+00	-1.000000000000000000e+01	-9.982340393241486254e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-3.327446837330554248e-03	2.266521748431717283e-03	1.060925078998827117e-03
6.500531685583839092e+00	-1.000000000000000000e+01	-9.974348827680143970e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-3.324782982934422742e-03	2.264707238706041396e-03	1.060075734128391274e-03
6.500863254422321269e+00	-1.000000000000000000e+01	-9.958384882308573438e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-3.319461666994046913e-03	2.261082574433483615e-03	1.058379082660553232e-03
6.501526392099286511e+00	-1.000000000000000000e+01	-9.926533581158651032e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-3.308844567380162405e-03	2.253850636806940463e-03	1.054993920473231870e-03
6.502852667453216995e+00	-1.000000000000000000e+01	-9.863136114351116035e+00	-1.000000000000000000e+01	-1.000000000000000000e+01	-3.287712077580569499e-03	2.239456042513837848e-03	1.048256025166721152e-03
