#T	V1	V2	I(V1)
8.000800080008001062e-04	-6.000000000000000000e+00	-4.796642350350911743e-03	-5.995203363657148829e-03
1.600160016001600212e-03	-6.000000000000000000e+00	-9.591366619184219997e-03	-5.990408639373317329e-03
1.766778069100052601e-03	-6.000000000000000000e+00	-1.058939369827618243e-02	-5.989410612309222989e-03
1.932621718773043940e-03	-6.000000000000000000e+00	-1.158261705272052577e-02	-5.988417388939780775e-03
2.264309018119027052e-03	-6.000000000000000000e+00	-1.356856968419019316e-02	-5.986431436323308604e-03
2.927683616810992841e-03	-6.000000000000000000e+00	-1.753849945657779547e-02	-5.982461506535923131e-03
4.254432814194923987e-03	-6.000000000000000000e+00	-2.547046358725348764e-02	-5.974529542420245996e-03
6.907931208962787145e-03	-6.000000000000000000e+00	-4.130286249898048462e-02	-5.958697143493520663e-03
1.221492799849851346e-02	-6.000000000000000000e+00	-7.284196013226885980e-02	-5.927158045875229909e-03
2.282892157756996609e-02	-6.000000000000000000e+00	-1.354206724829231934e-01	-5.864579333509577566e-03
4.405690873571287136e-02	-6.000000000000000000e+00	-2.586063946668897828e-01	-5.741393611340609229e-03
8.651288305199868189e-02	-6.000000000000000000e+00	-4.972959551733396322e-01	-5.502704050819160267e-03
1.711325759975650118e-01	-6.000000000000000000e+00	-9.440317585031354763e-01	-5.055968247504363453e-03
2.711325759975650174e-01	-6.000000000000000000e+00	-1.425552543294761110e+00	-4.574447462697739213e-03
3.711325759975649952e-01	-6.000000000000000000e+00	-1.861214205681603895e+00	-4.138785800325894826e-03
4.711325759975649730e-01	-6.000000000000000000e+00	-2.255384281134946711e+00	-3.744615724857553937e-03
5.711325759975649508e-01	-6.000000000000000000e+00	-2.612014349366504895e+00	-3.387985656640994225e-03
6.711325759975649285e-01	-6.000000000000000000e+00	-2.934679649162709403e+00	-3.065320356829790826e-03
7.711325759975649063e-01	-6.000000000000000000e+00	-3.226614920377628426e+00	-2.773385085629870555e-03
8.711325759975648841e-01	-6.000000000000000000e+00	-3.490746832402742417e+00	-2.509253173589757937e-03
9.711325759975648619e-01	-6.000000000000000000e+00	-3.729723324211031255e+00	-2.270276681796468132e-03
1.071132575997564951e+00	-6.000000000000000000e+00	-3.945940150111139744e+00	-2.054059855881360582e-03
1.171132575997565040e+00	-6.000000000000000000e+00	-4.141564897334484741e+00	-1.858435108673014025e-03
1.271132575997565128e+00	-6.000000000000000000e+00	-4.318558716233099837e+00	-1.681441289759400817e-03
1.371132575997565217e+00	-6.000000000000000000e+00	-4.478695980934841003e+00	-1.521304025072658158e-03
1.471132575997565306e+00	-6.000000000000000000e+00	-4.623582077555225212e+00	-1.376417928437275416e-03
1.571132575997565395e+00	-6.000000000000000000e+00	-4.754669498293860208e+00	-1.245330507713638714e-03
1.671132575997565484e+00	-6.000000000000000000e+00	-4.873272402759782018e+00	-1.126727603232718661e-03
1.771132575997565572e+00	-6.000000000000000000e+00	-4.980579792503904812e+00	-1.019420213503593759e-03
1.871132575997565661e+00	-6.000000000000000000e+00	-5.077667430834091888e+00	-9.223325751584080879e-04
1.971132575997565750e+00	-6.000000000000000000e+00	-5.165508627409741038e+00	-8.344913785977579922e-04
2.071132575997565617e+00	-6.000000000000000000e+00	-5.244983995732124704e+00	-7.550160102603763797e-04
2.171132575997565706e+00	-6.000000000000000000e+00	-5.316890281349929026e+00	-6.831097246575697311e-04
2.271132575997565795e+00	-6.000000000000000000e+00	-5.381948349283324440e+00	-6.180516567091757498e-04
2.371132575997565883e+00	-6.000000000000000000e+00	-5.440810410740971825e+00	-5.591895952665270177e-04
2.471132575997565972e+00	-6.000000000000000000e+00	-5.494066561578266672e+00	-5.059334444142336807e-04
2.571132575997566061e+00	-6.000000000000000000e+00	-5.542250698045274149e+00	-4.577493079622252988e-04
2.671132575997566150e+00	-6.000000000000000000e+00	-5.585845869130101171e+00	-4.141541368623994713e-04
2.771132575997566239e+00	-6.000000000000000000e+00	-5.625289119155276296e+00	-3.747108868522221886e-04
2.871132575997566327e+00	-6.000000000000000000e+00	-5.660975869174476927e+00	-3.390241368180242480e-04
2.971132575997566416e+00	-6.000000000000000000e+00	-5.693263881093374223e+00	-3.067361249141243988e-04
3.071132575997566505e+00	-6.000000000000000000e+00	-5.722476844255161232e+00	-2.775231617373393475e-04
3.171132575997566594e+00	-6.000000000000000000e+00	-5.748907620446510158e+00	-2.510923855609886409e-04
3.271132575997566683e+00	-6.000000000000000000e+00	-5.772821179855331941e+00	-2.271788261371680329e-04
3.371132575997566772e+00	-6.000000000000000000e+00	-5.794457257413525575e+00	-2.055427485939737475e-04
3.471132575997566860e+00	-6.000000000000000000e+00	-5.814032756154690951e+00	-1.859672498378094746e-04
3.571132575997566949e+00	-6.000000000000000000e+00	-5.831743921680636156e+00	-1.682560843268627497e-04
3.671132575997567038e+00	-6.000000000000000000e+00	-5.847768309535838149e+00	-1.522316964566623472e-04
3.771132575997567127e+00	-6.000000000000000000e+00	-5.862266565212900460e+00	-1.377334407945988103e-04
3.871132575997567216e+00	-6.000000000000000000e+00	-5.875384034633689190e+00	-1.246159713588113505e-04
3.971132575997567304e+00	-6.000000000000000000e+00	-5.887252221251308981e+00	-1.127477847561893356e-04
4.071132575997567393e+00	-6.000000000000000000e+00	-5.897990104380459009e+00	-1.020099016120416368e-04
4.171132575997567038e+00	-6.000000000000000000e+00	-5.907705331972525897e+00	-9.229467403497299905e-05
4.271132575997566683e+00	-6.000000000000000000e+00	-5.916495299793039564e+00	-8.350470619946135471e-05
4.371132575997566327e+00	-6.000000000000000000e+00	-5.924448127820326704e+00	-7.555187818717145612e-05
4.471132575997565972e+00	-6.000000000000000000e+00	-5.931643543653816408e+00	-6.835646233868444810e-05
4.571132575997565617e+00	-6.000000000000000000e+00	-5.938153681788226557e+00	-6.184632421927283876e-05
4.671132575997565262e+00	-6.000000000000000000e+00	-5.944043806766387661e+00	-5.595619922611241826e-05
4.771132575997564906e+00	-6.000000000000000000e+00	-5.949372967460379691e+00	-5.062703854711955205e-05
4.871132575997564551e+00	-6.000000000000000000e+00	-5.954194589040175067e+00	-4.580541695232599069e-05
4.971132575997564196e+00	-6.000000000000000000e+00	-5.958557008564313584e+00	-4.144299744318537276e-05
5.071132575997563841e+00	-6.000000000000000000e+00	-5.962503959561947120e+00	-3.749604643055316322e-05
5.171132575997563485e+00	-6.000000000000000000e+00	-5.966075010464210848e+00	-3.392499554328845459e-05
